State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Calhoun,Total,NA,4
Mississippi,Calhoun,Non-Hispanic,African-American,1
Mississippi,Calhoun,Non-Hispanic,White,3
Mississippi,Calhoun,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Calhoun,Non-Hispanic,Asian,0
Mississippi,Calhoun,Non-Hispanic,Other,0
Mississippi,Calhoun,Non-Hispanic,Unknown,0
Mississippi,Calhoun,Hispanic,African-American,0
Mississippi,Calhoun,Hispanic,White,0
Mississippi,Calhoun,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Calhoun,Hispanic,Asian,0
Mississippi,Calhoun,Hispanic,Other,0
Mississippi,Calhoun,Hispanic,Unknown,0
Mississippi,Calhoun,Unknown,African-American,0
Mississippi,Calhoun,Unknown,White,0
Mississippi,Calhoun,Unknown,American-Indian-Alaska-Native,0
Mississippi,Calhoun,Unknown,Asian,0
Mississippi,Calhoun,Unknown,Other,0
Mississippi,Calhoun,Unknown,Unknown,0
Mississippi,Carroll,Total,NA,11
Mississippi,Carroll,Non-Hispanic,African-American,6
Mississippi,Carroll,Non-Hispanic,White,4
Mississippi,Carroll,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Carroll,Non-Hispanic,Asian,0
Mississippi,Carroll,Non-Hispanic,Other,0
Mississippi,Carroll,Non-Hispanic,Unknown,0
Mississippi,Carroll,Hispanic,African-American,0
Mississippi,Carroll,Hispanic,White,0
Mississippi,Carroll,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Carroll,Hispanic,Asian,0
Mississippi,Carroll,Hispanic,Other,0
Mississippi,Carroll,Hispanic,Unknown,0
Mississippi,Carroll,Unknown,African-American,0
Mississippi,Carroll,Unknown,White,1
Mississippi,Carroll,Unknown,American-Indian-Alaska-Native,0
Mississippi,Carroll,Unknown,Asian,0
Mississippi,Carroll,Unknown,Other,0
Mississippi,Carroll,Unknown,Unknown,0
Mississippi,Chickasaw,Total,NA,18
Mississippi,Chickasaw,Non-Hispanic,African-American,9
Mississippi,Chickasaw,Non-Hispanic,White,8
Mississippi,Chickasaw,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Chickasaw,Non-Hispanic,Asian,0
Mississippi,Chickasaw,Non-Hispanic,Other,0
