State,County,Sex,Age_range,NDeath
Ohio,Hamilton,Female,70-79,15
Ohio,Hamilton,Female,80+,60
Ohio,Hamilton,Male,30-39,1
Ohio,Hamilton,Male,40-49,5
Ohio,Hamilton,Male,50-59,11
Ohio,Hamilton,Male,60-69,20
Ohio,Hamilton,Male,70-79,24
Ohio,Hamilton,Male,80+,49
Ohio,Hancock,Male,80+,1
Ohio,Hardin,Female,60-69,1
Ohio,Hardin,Female,70-79,1
Ohio,Hardin,Female,80+,2
Ohio,Hardin,Male,60-69,3
Ohio,Hardin,Male,70-79,1
Ohio,Hardin,Male,80+,4
Ohio,Harrison,Female,80+,1
Ohio,Highland,Male,80+,1
Ohio,Hocking,Female,70-79,1
Ohio,Hocking,Female,80+,7
Ohio,Hocking,Male,80+,1
Ohio,Holmes,Female,80+,1
Ohio,Holmes,Male,60-69,1
Ohio,Holmes,Male,80+,3
Ohio,Huron,Male,70-79,2
Ohio,Jefferson,Female,60-69,1
Ohio,Jefferson,Male,70-79,1
Ohio,Knox,Male,80+,1
Ohio,Lake,Female,60-69,1
Ohio,Lake,Female,70-79,2
Ohio,Lake,Female,80+,4
Ohio,Lake,Female,Unknown,1
Ohio,Lake,Male,40-49,1
Ohio,Lake,Male,50-59,1
Ohio,Lake,Male,60-69,1
Ohio,Lake,Male,70-79,4
Ohio,Lake,Male,80+,8
Ohio,Licking,Female,70-79,1
Ohio,Licking,Female,80+,1
Ohio,Licking,Male,50-59,1
Ohio,Licking,Male,60-69,2
Ohio,Licking,Male,70-79,2
Ohio,Licking,Male,80+,5
Ohio,Logan,Male,50-59,1
Ohio,Lorain,Female,50-59,1
Ohio,Lorain,Female,60-69,5
Ohio,Lorain,Female,70-79,10
Ohio,Lorain,Female,80+,21
Ohio,Lorain,Male,20-29,1
Ohio,Lorain,Male,30-39,1
Ohio,Lorain,Male,50-59,1
Ohio,Lorain,Male,60-69,2
Ohio,Lorain,Male,70-79,7
Ohio,Lorain,Male,80+,20
Ohio,Lucas,Female,20-29,1
Ohio,Lucas,Female,50-59,6
Ohio,Lucas,Female,60-69,20
Ohio,Lucas,Female,70-79,30
Ohio,Lucas,Female,80+,91
Ohio,Lucas,Male,20-29,1
Ohio,Lucas,Male,30-39,1
Ohio,Lucas,Male,50-59,11
Ohio,Lucas,Male,60-69,41
Ohio,Lucas,Male,70-79,45
Ohio,Lucas,Male,80+,58
Ohio,Madison,Female,70-79,2
Ohio,Madison,Male,40-49,1
Ohio,Madison,Male,50-59,2
Ohio,Madison,Male,60-69,1
Ohio,Madison,Male,70-79,3
Ohio,Mahoning,Female,50-59,3
Ohio,Mahoning,Female,60-69,3
Ohio,Mahoning,Female,70-79,21
Ohio,Mahoning,Female,80+,103
Ohio,Mahoning,Male,40-49,1
Ohio,Mahoning,Male,50-59,8
Ohio,Mahoning,Male,60-69,12
Ohio,Mahoning,Male,70-79,28
Ohio,Mahoning,Male,80+,60
Ohio,Marion,Female,70-79,3
Ohio,Marion,Female,80+,8
Ohio,Marion,Male,40-49,1
Ohio,Marion,Male,50-59,6
Ohio,Marion,Male,60-69,10
Ohio,Marion,Male,70-79,7
Ohio,Marion,Male,80+,4
Ohio,Medina,Female,60-69,1
Ohio,Medina,Female,70-79,4
Ohio,Medina,Female,80+,12
Ohio,Medina,Male,50-59,2
Ohio,Medina,Male,60-69,1
Ohio,Medina,Male,70-79,2
Ohio,Medina,Male,80+,10
Ohio,Mercer,Female,50-59,1
Ohio,Mercer,Female,80+,4
Ohio,Mercer,Male,70-79,1
Ohio,Mercer,Male,80+,4
Ohio,Miami,Female,60-69,3
Ohio,Miami,Female,70-79,2
Ohio,Miami,Female,80+,10
Ohio,Miami,Male,50-59,1
Ohio,Miami,Male,70-79,4
Ohio,Miami,Male,80+,11
